xin chào các bạn,2,[[3.8606592e-03 7.3554827e-04 9.9540377e-01]]
xin chaof,1,[[3.177896e-04 9.927376e-01 6.944600e-03]]
bạn tên là gì,2,[[6.6177097e-05 1.5269051e-04 9.9978119e-01]]
bạn ở đâu,2,[[4.2465722e-04 5.9103539e-05 9.9951625e-01]]
bạn thích ăn kem ,2,[[1.06426785e-04 1.92112508e-04 9.99701440e-01]]
tôi ghét chính trị,1,[[1.3582343e-04 9.9962044e-01 2.4366492e-04]]
tại sao ,2,[[1.0631349e-03 7.7525788e-04 9.9816161e-01]]
tôi ghét gọ,2,[[1.7896009e-04 3.0197944e-02 9.6962309e-01]]
tôi ghét họ,1,[[2.9546753e-04 5.6232226e-01 4.3738222e-01]]
những con côn trùng đang ăn mòn cái lá,2,[[0.0022514 0.0602777 0.9374709]]
hihi,2,[[0.00157697 0.02877425 0.9696488 ]]
ád,1,[[0.00246367 0.98839045 0.00914586]]
adasd,2,[[5.8249140e-04 2.2040932e-02 9.7737670e-01]]
hihi,2,[[0.00157697 0.02877425 0.9696488 ]]
adsad,1,[[1.8622195e-04 9.9796706e-01 1.8466344e-03]]
djaosdjoasd,1,[[2.5541725e-04 9.9956280e-01 1.8171899e-04]]
asdasd,1,[[0.11949829 0.82499695 0.05550472]]
sssss,1,[[5.6555629e-04 9.9923444e-01 1.9999911e-04]]
ssssa,1,[[1.1119234e-04 9.9962616e-01 2.6267458e-04]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoid,1,[[1.8608310e-04 9.9748933e-01 2.3245872e-03]]
asdjasoidAASD,1,[[5.9187168e-04 9.9808466e-01 1.3234247e-03]]
asdjasoidAASD,1,[[5.9187168e-04 9.9808466e-01 1.3234247e-03]]
asdjasoidAASD,1,[[5.9187168e-04 9.9808466e-01 1.3234247e-03]]
asdjasoidAASDaá,1,[[5.1937287e-04 9.9747318e-01 2.0074814e-03]]
asdjasoidAASDaá,1,[[5.1937287e-04 9.9747318e-01 2.0074814e-03]]
asdjasoidAASDaá,1,[[5.1937287e-04 9.9747318e-01 2.0074814e-03]]
asdjasoidAASDaá,1,[[5.1937287e-04 9.9747318e-01 2.0074814e-03]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
á,2,[[0.00528791 0.11556845 0.8791437 ]]
asdasdasd,1,[[0.00915433 0.8973101  0.09353558]]
asdasdas,1,[[0.00658679 0.99226487 0.00114838]]
asdasdasda,1,[[0.01016947 0.9786847  0.01114578]]
