aa,1,[[0.00083992 0.5236334  0.4755267 ]]
hihi,2,[[0.00157697 0.02877425 0.9696488 ]]
what the fuck,1,[[5.1093585e-04 9.6195197e-01 3.7537139e-02]]
fuckl,1,[[2.4475247e-04 9.9718922e-01 2.5660249e-03]]
bạn Phạm Tuấn Việt có đẹp trai không,2,[[0.00595699 0.00221227 0.99183077]]
hãy nói cho tôi biết bạn Phạm Tuấn Việt có đẹp trai không,2,[[4.9978500e-04 4.0238706e-04 9.9909782e-01]]
hãy nói cho tôi biết Phạm Tuấn Việt có đẹp trai không,2,[[3.7688907e-04 6.7051789e-03 9.9291795e-01]]
cho tôi biết về Phạm Tuấn Việt,2,[[0.0007701  0.29834315 0.7008868 ]]
cho tôi biết về phạm tuấn việt ,1,[[1.4258517e-04 9.9615341e-01 3.7040079e-03]]
cho tôi biết về Phạm Tuấn Việt,2,[[0.0007701  0.29834315 0.7008868 ]]
cho tôi viết về bạn phạm tuấn việt,2,[[2.5315754e-04 1.8679394e-03 9.9787891e-01]]
cho tôi biết về anh Duy Lộc,2,[[2.0889673e-04 5.2004363e-03 9.9459064e-01]]
cho tôi biết về duy lộc,2,[[3.1893986e-04 8.7387278e-04 9.9880719e-01]]
cho tôi biết về anh duy lộc,2,[[5.8285770e-04 1.2336704e-03 9.9818343e-01]]
cho tôi biết vể phạm nhật vượng,2,[[0.00191824 0.01969011 0.9783916 ]]
cho tôi biết về phạm tuấn việt,1,[[1.4258517e-04 9.9615341e-01 3.7040079e-03]]
cho tôi biết về đồng chí phạm nhật vượng,2,[[0.18925817 0.31094053 0.4998013 ]]
cho tôi biết về đồng chí phạm tuấn việt,1,[[1.0978398e-03 9.9817193e-01 7.3027640e-04]]
cho tôi biết về thằng phạm tuấn việt,1,[[7.018598e-05 9.992655e-01 6.643393e-04]]
cho tôi biết về phạm tuấn,1,[[1.4322365e-04 9.9534142e-01 4.5153238e-03]]
cho tôi biết về phạm nhật,1,[[6.5131072e-04 8.9671803e-01 1.0263064e-01]]
cho tôi biết về phạm nhật vượng,2,[[5.1702949e-04 6.1313668e-03 9.9335164e-01]]
cho tôi biết về phạm,2,[[1.1503932e-04 8.3783135e-02 9.1610181e-01]]
cho tôi biết về phạm việt,1,[[7.228042e-04 8.525585e-01 1.467187e-01]]
cho tôi biết về phạm vượng,2,[[7.3629705e-04 6.0382858e-02 9.3888080e-01]]
cho tôi biết về phạm vũ,2,[[3.8552735e-04 1.3297661e-01 8.6663783e-01]]
cho tôi biết về phạm chiến,1,[[7.3974195e-05 9.9366176e-01 6.2642843e-03]]
cho tôi biết về phạm ninh,1,[[1.1750267e-04 9.8619056e-01 1.3691932e-02]]
cho tôi biết về dũng linh,2,[[3.4091744e-04 2.6729351e-01 7.3236555e-01]]
cho tôi biết về dũng linh đẹp trai,2,[[2.0612724e-04 2.9703652e-02 9.7009027e-01]]
cho tôi biết về anh dũng linh,2,[[6.5070705e-04 1.4141844e-01 8.5793090e-01]]
cho tôi biết về nguyễn văn việt,2,[[0.02311791 0.00474392 0.9721382 ]]
cho tôi biết về phạm ngọc,2,[[1.6571463e-04 7.8227948e-03 9.9201149e-01]]
cho tôi biết về phạm hiệu,2,[[0.0013499  0.17936645 0.8192836 ]]
cho tôi biết về phạm ninh,1,[[1.1750267e-04 9.8619056e-01 1.3691932e-02]]
cho tôi biết về phạm chiến\,1,[[1.2608708e-04 9.8653561e-01 1.3338358e-02]]
cho tôi biết về anh chiến,2,[[1.08399516e-04 8.45832936e-03 9.91433263e-01]]
cho tôi biết về chiến,1,[[1.5204074e-04 5.6987780e-01 4.2997018e-01]]
cho tôi biết về thằng chiến,1,[[6.3884996e-05 9.8166156e-01 1.8274536e-02]]
anh chiến tranh bánh với việt,1,[[7.2030548e-04 9.9920493e-01 7.4732285e-05]]
anh chiến có nên tranh giành đồ ăn với tôi không,2,[[1.4052978e-04 4.7844898e-02 9.5201457e-01]]
"anh chiến tranh giành đồ ăn với tôi, đúng hay sai",1,[[0.00443438 0.5471143  0.4484513 ]]
alksdjhlakfjhlsafsf,1,[[0.05076122 0.9442598  0.00497891]]
fdfdfdfd,2,[[0.2016607 0.2667709 0.5315684]]
fdfd,2,[[0.24029148 0.09554134 0.6641671 ]]
fd,1,[[0.01829243 0.7571185  0.22458902]]
dfdfdfd,2,[[0.13442227 0.41024467 0.45533305]]
fdfdfdfdfdfdfd,1,[[0.09096821 0.5955717  0.31346014]]
trchgd bejd,1,[[0.00628321 0.90855575 0.08516105]]
phenikaa x có bán nước không,2,[[3.263714e-05 1.218359e-03 9.987490e-01]]
phạm tuấn việt là ai,1,[[2.4682039e-04 9.9967957e-01 7.3663672e-05]]
phạm nhật vượng là ai,0,[[0.82435447 0.17035195 0.00529354]]
anh Phạm Ngọc Ninh là ai,1,[[1.5231538e-04 9.9973220e-01 1.1549844e-04]]
Phạm Nhật Vượng là ai,1,[[9.1917515e-05 9.9978417e-01 1.2397717e-04]]
cho tôi biết về anh Phạm Tuấn Việt,1,[[1.8327526e-04 9.9972099e-01 9.5746756e-05]]
cho tôi biết về anh Thái Văn Chiến,1,[[1.4205952e-04 9.9965858e-01 1.9937106e-04]]
cho tôi biết về bạn Phạm Long Vũ,1,[[1.80996576e-04 9.99699235e-01 1.19841534e-04]]
